"Plot Title: 20393600_BaldyB2"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20393600, SEN S/N: 20399030, LBL: B2_R)","Temp, °F (LGR S/N: 20393600, SEN S/N: 20399279, LBL: B2_R)"
387,06/28/18 09:00:01 PM,0.2973,58.498
388,06/28/18 10:00:01 PM,0.2970,57.549
389,06/28/18 11:00:01 PM,0.2966,56.556
390,06/29/18 12:00:01 AM,0.2966,55.690
391,06/29/18 01:00:01 AM,0.2970,54.820
392,06/29/18 02:00:01 AM,0.2966,53.951
393,06/29/18 03:00:01 AM,0.2966,52.992
394,06/29/18 04:00:01 AM,0.2963,52.072
395,06/29/18 05:00:01 AM,0.2963,51.193
396,06/29/18 06:00:01 AM,0.2959,50.445
397,06/29/18 07:00:01 AM,0.2963,49.692
398,06/29/18 08:00:01 AM,0.2963,49.249
399,06/29/18 09:00:01 AM,0.2963,49.471
400,06/29/18 10:00:01 AM,0.2963,50.488
401,06/29/18 11:00:01 AM,0.2963,52.160
402,06/29/18 12:00:01 PM,0.2959,54.255
403,06/29/18 01:00:01 PM,0.2952,56.426
404,06/29/18 02:00:01 PM,0.2946,58.541
405,06/29/18 03:00:01 PM,0.2946,60.217
406,06/29/18 04:00:01 PM,0.2935,61.205
407,06/29/18 05:00:01 PM,0.2935,61.333
408,06/29/18 06:00:01 PM,0.2928,60.818
409,06/29/18 07:00:01 PM,0.2928,59.959
410,06/29/18 08:00:01 PM,0.2922,59.014
411,06/29/18 09:00:01 PM,0.2919,57.936
412,06/29/18 10:00:01 PM,0.2919,56.858
413,06/29/18 11:00:01 PM,0.2919,55.776
414,06/30/18 12:00:01 AM,0.2914,54.734
415,06/30/18 01:00:01 AM,0.2914,53.733
416,06/30/18 02:00:01 AM,0.2914,52.817
417,06/30/18 03:00:01 AM,0.2919,51.940
418,06/30/18 04:00:01 AM,0.2914,51.105
419,06/30/18 05:00:01 AM,0.2914,50.356
420,06/30/18 06:00:01 AM,0.2914,49.604
421,06/30/18 07:00:01 AM,0.2914,48.983
422,06/30/18 08:00:01 AM,0.2919,48.628
423,06/30/18 09:00:01 AM,0.2914,48.983
424,06/30/18 10:00:01 AM,0.2919,50.047
425,06/30/18 11:00:01 AM,0.2911,51.721
426,06/30/18 12:00:01 PM,0.2904,53.776
427,06/30/18 01:00:01 PM,0.2898,55.949
428,06/30/18 02:00:01 PM,0.2898,57.893
429,06/30/18 03:00:01 PM,0.2895,59.401
430,06/30/18 04:00:01 PM,0.2884,60.260
431,06/30/18 05:00:01 PM,0.2881,60.303
432,06/30/18 06:00:01 PM,0.2881,59.873
433,06/30/18 07:00:01 PM,0.2874,59.142
434,06/30/18 08:00:01 PM,0.2871,58.239
435,06/30/18 09:00:01 PM,0.2864,57.204
436,06/30/18 10:00:01 PM,0.2864,56.165
437,06/30/18 11:00:01 PM,0.2868,55.168
438,07/01/18 12:00:01 AM,0.2864,54.169
439,07/01/18 01:00:01 AM,0.2864,53.253
440,07/01/18 02:00:01 AM,0.2868,52.378
441,07/01/18 03:00:01 AM,0.2864,51.544
442,07/01/18 04:00:01 AM,0.2864,50.797
443,07/01/18 05:00:01 AM,0.2864,50.047
444,07/01/18 06:00:01 AM,0.2864,49.338
445,07/01/18 07:00:01 AM,0.2864,48.628
446,07/01/18 08:00:01 AM,0.2868,48.315
447,07/01/18 09:00:01 AM,0.2864,48.717
448,07/01/18 10:00:01 AM,0.2864,49.870
449,07/01/18 11:00:01 AM,0.2861,51.633
450,07/01/18 12:00:01 PM,0.2853,53.733
451,07/01/18 01:00:01 PM,0.2847,55.992
452,07/01/18 02:00:01 PM,0.2847,58.109
453,07/01/18 03:00:01 PM,0.2840,59.788
454,07/01/18 04:00:01 PM,0.2830,60.733
455,07/01/18 05:00:01 PM,0.2830,60.904
456,07/01/18 06:00:01 PM,0.2827,60.474
457,07/01/18 07:00:01 PM,0.2817,59.702
458,07/01/18 08:00:01 PM,0.2813,58.755
459,07/01/18 09:00:01 PM,0.2810,57.722
460,07/01/18 10:00:01 PM,0.2806,56.599
461,07/01/18 11:00:01 PM,0.2806,55.472
462,07/02/18 12:00:01 AM,0.2806,54.430
463,07/02/18 01:00:01 AM,0.2806,53.427
464,07/02/18 02:00:01 AM,0.2810,52.509
465,07/02/18 03:00:01 AM,0.2803,51.678
466,07/02/18 04:00:01 AM,0.2806,50.886
467,07/02/18 05:00:01 AM,0.2803,50.092
468,07/02/18 06:00:01 AM,0.2806,49.383
469,07/02/18 07:00:01 AM,0.2810,48.717
470,07/02/18 08:00:01 AM,0.2810,48.405
471,07/02/18 09:00:01 AM,0.2810,48.805
472,07/02/18 10:00:01 AM,0.2803,50.047
473,07/02/18 11:00:01 AM,0.2800,51.895
474,07/02/18 12:00:01 PM,0.2793,54.082
475,07/02/18 01:00:01 PM,0.2786,56.426
476,07/02/18 02:00:01 PM,0.2780,58.755
477,07/02/18 03:00:01 PM,0.2773,60.561
478,07/02/18 04:00:01 PM,0.2766,61.506
479,07/02/18 05:00:01 PM,0.2766,61.547
480,07/02/18 06:00:01 PM,0.2756,61.032
481,07/02/18 07:00:01 PM,0.2753,60.217
482,07/02/18 08:00:01 PM,0.2749,59.272
483,07/02/18 09:00:01 PM,0.2746,58.239
484,07/02/18 10:00:01 PM,0.2743,57.117
485,07/02/18 11:00:01 PM,0.2743,56.035
486,07/03/18 12:00:01 AM,0.2743,55.038
487,07/03/18 01:00:01 AM,0.2739,54.126
488,07/03/18 02:00:01 AM,0.2739,53.209
489,07/03/18 03:00:01 AM,0.2739,52.378
490,07/03/18 04:00:01 AM,0.2743,51.589
491,07/03/18 05:00:01 AM,0.2736,50.886
492,07/03/18 06:00:01 AM,0.2739,50.223
493,07/03/18 07:00:01 AM,0.2739,49.692
494,07/03/18 08:00:01 AM,0.2739,49.471
495,07/03/18 09:00:01 AM,0.2743,49.959
496,07/03/18 10:00:01 AM,0.2736,51.193
497,07/03/18 11:00:01 AM,0.2729,52.947
498,07/03/18 12:00:01 PM,0.2719,54.952
499,07/03/18 01:00:01 PM,0.2712,57.160
500,07/03/18 02:00:01 PM,0.2708,59.358
501,07/03/18 03:00:01 PM,0.2698,61.032
502,07/03/18 04:00:01 PM,0.2691,61.891
503,07/03/18 05:00:01 PM,0.2687,61.761
504,07/03/18 06:00:01 PM,0.2684,61.075
505,07/03/18 07:00:01 PM,0.2677,60.390
506,07/03/18 08:00:01 PM,0.2673,59.702
507,07/03/18 09:00:01 PM,0.2673,58.885
508,07/03/18 10:00:01 PM,0.2666,57.979
509,07/03/18 11:00:01 PM,0.2666,57.074
510,07/04/18 12:00:01 AM,0.2670,56.122
511,07/04/18 01:00:01 AM,0.2666,55.168
512,07/04/18 02:00:01 AM,0.2666,54.255
513,07/04/18 03:00:01 AM,0.2666,53.384
514,07/04/18 04:00:01 AM,0.2666,52.597
