"Plot Title: 20290164_SM_UM_A2_ctrl"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20290164, SEN S/N: 9719170, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152228, LBL: A2_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290164, SEN S/N: 20152229, LBL: A2_Rshrub)"
314,06/23/19 12:00:01 PM,43.671,0.2410,0.2571
315,06/23/19 01:00:01 PM,44.582,0.2414,0.2571
316,06/23/19 02:00:01 PM,45.896,0.2414,0.2567
317,06/23/19 03:00:01 PM,47.467,0.2410,0.2564
318,06/23/19 04:00:01 PM,48.628,0.2414,0.2560
319,06/23/19 05:00:01 PM,49.294,0.2406,0.2560
320,06/23/19 06:00:01 PM,50.180,0.2406,0.2557
321,06/23/19 07:00:01 PM,50.621,0.2394,0.2553
322,06/23/19 08:00:01 PM,50.311,0.2399,0.2550
323,06/23/19 09:00:01 PM,49.649,0.2403,0.2553
324,06/23/19 10:00:01 PM,48.762,0.2403,0.2553
325,06/23/19 11:00:01 PM,47.871,0.2403,0.2553
326,06/24/19 12:00:01 AM,47.064,0.2403,0.2553
327,06/24/19 01:00:01 AM,46.256,0.2399,0.2557
328,06/24/19 02:00:01 AM,45.489,0.2390,0.2557
329,06/24/19 03:00:01 AM,44.764,0.2383,0.2557
330,06/24/19 04:00:01 AM,44.082,0.2390,0.2564
331,06/24/19 05:00:01 AM,43.396,0.2390,0.2560
332,06/24/19 06:00:01 AM,42.800,0.2387,0.2560
333,06/24/19 07:00:01 AM,42.247,0.2387,0.2564
334,06/24/19 08:00:01 AM,41.970,0.2394,0.2564
335,06/24/19 09:00:01 AM,42.064,0.2394,0.2567
336,06/24/19 10:00:01 AM,42.800,0.2387,0.2560
337,06/24/19 11:00:01 AM,43.990,0.2387,0.2557
338,06/24/19 12:00:01 PM,45.579,0.2374,0.2546
339,06/24/19 01:00:01 PM,47.422,0.2383,0.2538
340,06/24/19 02:00:01 PM,49.383,0.2379,0.2528
341,06/24/19 03:00:01 PM,51.237,0.2374,0.2520
342,06/24/19 04:00:01 PM,52.817,0.2379,0.2512
343,06/24/19 05:00:01 PM,53.776,0.2379,0.2509
344,06/24/19 06:00:01 PM,54.561,0.2374,0.2505
345,06/24/19 07:00:01 PM,54.820,0.2374,0.2502
346,06/24/19 08:00:01 PM,54.343,0.2363,0.2494
347,06/24/19 09:00:01 PM,53.472,0.2363,0.2494
348,06/24/19 10:00:01 PM,52.423,0.2374,0.2494
349,06/24/19 11:00:01 PM,51.370,0.2374,0.2494
350,06/25/19 12:00:01 AM,50.356,0.2379,0.2498
