"Plot Title: 20290165_SM_UM_C2_ctrl"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20145933, LBL: UM_Lmeadow)","Water Content, m³/m³ (LGR S/N: 20290165, SEN S/N: 20152221, LBL: UM_Rshrub)","Temp, °F (LGR S/N: 20290165, SEN S/N: 20399282, LBL: UM_Lmeadow)"
391,07/01/19 05:00:01 PM,0.2743,0.1738,67.971
392,07/01/19 06:00:01 PM,0.2736,0.1732,67.798
393,07/01/19 07:00:01 PM,0.2739,0.1738,66.729
394,07/01/19 08:00:01 PM,0.2736,0.1738,65.444
395,07/01/19 09:00:01 PM,0.2739,0.1732,64.288
396,07/01/19 10:00:01 PM,0.2739,0.1742,63.005
397,07/01/19 11:00:01 PM,0.2736,0.1724,61.633
398,07/02/19 12:00:01 AM,0.2739,0.1689,60.346
399,07/02/19 01:00:01 AM,0.2736,0.1714,59.099
400,07/02/19 02:00:01 AM,0.2739,0.1709,57.936
401,07/02/19 03:00:01 AM,0.2739,0.1709,56.815
402,07/02/19 04:00:01 AM,0.2739,0.1703,55.776
403,07/02/19 05:00:01 AM,0.2739,0.1724,54.865
404,07/02/19 06:00:01 AM,0.2739,0.1718,53.951
405,07/02/19 07:00:01 AM,0.2739,0.1762,53.166
406,07/02/19 08:00:01 AM,0.2739,0.1813,52.772
407,07/02/19 09:00:01 AM,0.2739,0.1803,53.427
408,07/02/19 10:00:01 AM,0.2732,0.1807,54.604
409,07/02/19 11:00:01 AM,0.2726,0.1803,55.819
410,07/02/19 12:00:01 PM,0.2719,0.1742,57.636
411,07/02/19 01:00:01 PM,0.2708,0.1775,60.346
412,07/02/19 02:00:01 PM,0.2701,0.1714,63.176
413,07/02/19 03:00:01 PM,0.2687,0.1742,65.403
414,07/02/19 04:00:01 PM,0.2684,0.1769,66.857
415,07/02/19 05:00:01 PM,0.2673,0.1699,67.586
416,07/02/19 06:00:01 PM,0.2670,0.1714,67.627
417,07/02/19 07:00:01 PM,0.2666,0.1718,66.814
418,07/02/19 08:00:01 PM,0.2666,0.1677,65.788
419,07/02/19 09:00:01 PM,0.2666,0.1681,64.717
420,07/02/19 10:00:01 PM,0.2666,0.1762,63.433
