"Plot Title: 20139116_SM_UM_C1_trmt"
"#","Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20145938, LBL: UM_Lshrub)","Water Content, m³/m³ (LGR S/N: 20139116, SEN S/N: 20152219, LBL: UM_Rmeadow)","Temp, °F (LGR S/N: 20139116, SEN S/N: 20391814, LBL: UM_Rmeadow)"
357,06/01/19 05:00:01 AM,0.3084,0.3005,42.525
358,06/01/19 06:00:01 AM,0.3080,0.3005,42.017
359,06/01/19 07:00:01 AM,0.3080,0.3005,41.601
360,06/01/19 08:00:01 AM,0.3084,0.3008,41.832
361,06/01/19 09:00:01 AM,0.3084,0.3008,43.945
362,06/01/19 10:00:01 AM,0.3084,0.3008,47.244
363,06/01/19 11:00:01 AM,0.3084,0.3008,50.974
364,06/01/19 12:00:01 PM,0.3080,0.3005,53.427
365,06/01/19 01:00:01 PM,0.3080,0.3005,54.343
366,06/01/19 02:00:01 PM,0.3080,0.3001,55.819
367,06/01/19 03:00:01 PM,0.3077,0.3001,57.636
368,06/01/19 04:00:01 PM,0.3077,0.3005,58.541
369,06/01/19 05:00:01 PM,0.3077,0.3001,58.842
370,06/01/19 06:00:01 PM,0.3072,0.2997,58.541
371,06/01/19 07:00:01 PM,0.3072,0.2994,57.893
372,06/01/19 08:00:01 PM,0.3072,0.2990,56.599
373,06/01/19 09:00:01 PM,0.3069,0.2987,54.865
374,06/01/19 10:00:01 PM,0.3069,0.2987,53.078
375,06/01/19 11:00:01 PM,0.3066,0.2987,51.413
376,06/02/19 12:00:01 AM,0.3066,0.2987,49.914
377,06/02/19 01:00:01 AM,0.3066,0.2987,48.538
378,06/02/19 02:00:01 AM,0.3066,0.2987,47.422
379,06/02/19 03:00:01 AM,0.3066,0.2984,46.436
380,06/02/19 04:00:01 AM,0.3062,0.2987,45.534
381,06/02/19 05:00:01 AM,0.3062,0.2984,44.582
382,06/02/19 06:00:01 AM,0.3062,0.2984,43.671
383,06/02/19 07:00:01 AM,0.3062,0.2984,42.892
384,06/02/19 08:00:01 AM,0.3062,0.2990,42.984
385,06/02/19 09:00:01 AM,0.3062,0.2994,45.354
386,06/02/19 10:00:01 AM,0.3062,0.2990,48.717
387,06/02/19 11:00:01 AM,0.3062,0.2990,52.597
388,06/02/19 12:00:01 PM,0.3058,0.2987,55.863
389,06/02/19 01:00:01 PM,0.3058,0.2984,56.858
390,06/02/19 02:00:01 PM,0.3058,0.2984,55.819
391,06/02/19 03:00:01 PM,0.3058,0.2987,54.604
392,06/02/19 04:00:01 PM,0.3058,0.2990,55.386
393,06/02/19 05:00:01 PM,0.3058,0.2987,56.728
394,06/02/19 06:00:01 PM,0.3054,0.2984,57.074
395,06/02/19 07:00:01 PM,0.3054,0.2979,55.906
396,06/02/19 08:00:01 PM,0.3051,0.2979,54.561
397,06/02/19 09:00:01 PM,0.3051,0.2976,53.035
398,06/02/19 10:00:01 PM,0.3051,0.2976,51.678
399,06/02/19 11:00:01 PM,0.3051,0.2973,50.356
400,06/03/19 12:00:01 AM,0.3048,0.2976,49.116
401,06/03/19 01:00:01 AM,0.3048,0.2976,48.004
402,06/03/19 02:00:01 AM,0.3048,0.2976,46.974
403,06/03/19 03:00:01 AM,0.3043,0.2973,45.941
404,06/03/19 04:00:01 AM,0.3048,0.2973,44.991
405,06/03/19 05:00:01 AM,0.3043,0.2973,44.263
406,06/03/19 06:00:01 AM,0.3043,0.2973,43.534
407,06/03/19 07:00:01 AM,0.3043,0.2976,42.939
408,06/03/19 08:00:01 AM,0.3043,0.2976,42.892
409,06/03/19 09:00:01 AM,0.3043,0.2976,44.627
410,06/03/19 10:00:01 AM,0.3043,0.2984,47.826
411,06/03/19 11:00:01 AM,0.3048,0.2976,51.148
412,06/03/19 12:00:01 PM,0.3040,0.2976,54.734
413,06/03/19 01:00:01 PM,0.3043,0.2976,55.949
414,06/03/19 02:00:01 PM,0.3040,0.2976,56.469
415,06/03/19 03:00:01 PM,0.3040,0.2973,57.463
416,06/03/19 04:00:01 PM,0.3040,0.2976,58.066
417,06/03/19 05:00:01 PM,0.3040,0.2973,57.765
418,06/03/19 06:00:01 PM,0.3040,0.2970,56.642
419,06/03/19 07:00:01 PM,0.3037,0.2973,55.819
420,06/03/19 08:00:01 PM,0.3037,0.2966,54.820
